degree,pr,closeness,eigenvector,cc,betweennes,egoNeighEdge,egoNeighNode,egoEdge,egoNode,degree_w,label
0.83919,0.8373,0.8179,0.76654,0.82902,0.75206,0.76496,0.83637,0.64031,0.83919,0.8367,0
0.85365,0.81646,0.83865,0.81964,0.78763,0.78161,0.85189,0.85285,0.75966,0.85365,0.81924,0
0.87906,0.87751,0.85644,0.79905,0.79989,0.87484,0.85367,0.88333,0.83396,0.87906,0.79388,0
0.85223,0.85457,0.85368,0.79855,0.83695,0.87295,0.82069,0.85722,0.77753,0.85223,0.84426,0
0.86884,0.87345,0.8365,0.80149,0.8154,0.8847,0.86111,0.86487,0.84713,0.86884,0.84561,0
0.87244,0.85754,0.8474,0.8076,0.8199,0.87364,0.85983,0.87322,0.8191,0.87244,0.83818,0
0.88376,0.8775,0.82674,0.77679,0.85662,0.85891,0.84044,0.87817,0.84151,0.88376,0.83539,0
0.85952,0.8781,0.82463,0.8046,0.8554,0.73559,0.75492,0.85763,0.84258,0.85952,0.8269,0
0.87899,0.87377,0.78687,0.79442,0.83253,0.8772,0.84882,0.87617,0.75164,0.87899,0.86161,0
0.86775,0.79125,0.80088,0.79409,0.81224,0.77382,0.79922,0.87098,0.71231,0.86775,0.79962,0
0.87803,0.86654,0.80981,0.76335,0.86314,0.85862,0.84486,0.88072,0.83218,0.87803,0.85657,0
0.87682,0.8628,0.85632,0.81279,0.83761,0.87394,0.85315,0.87396,0.80864,0.87682,0.84811,0
0.83953,0.87738,0.84741,0.80623,0.84529,0.88825,0.83268,0.83148,0.81626,0.83953,0.85381,0
0.83954,0.87932,0.83242,0.78276,0.80122,0.75363,0.77132,0.84343,0.83377,0.83954,0.80474,0
0.87405,0.86455,0.83066,0.78998,0.84871,0.86783,0.85516,0.87743,0.83541,0.87405,0.84444,0
0.87247,0.86829,0.81723,0.79674,0.86537,0.88526,0.85853,0.87826,0.84232,0.87247,0.8448,0
0.86503,0.87478,0.84335,0.8043,0.8363,0.87038,0.84592,0.86926,0.84372,0.86503,0.86546,0
0.85906,0.82853,0.8102,0.75876,0.81419,0.84887,0.84855,0.81226,0.77561,0.85906,0.83367,0
0.86082,0.80928,0.80209,0.81778,0.85395,0.82489,0.79451,0.85377,0.76215,0.86082,0.8555,0
0.85534,0.82867,0.80335,0.72166,0.77561,0.86458,0.66638,0.8513,0.70111,0.85534,0.8435,0
0.85912,0.864,0.85847,0.78755,0.84217,0.87965,0.84824,0.87137,0.83301,0.85912,0.83029,0
0.87712,0.85314,0.78918,0.79927,0.78162,0.84645,0.77063,0.87232,0.71988,0.87712,0.85986,0
0.86766,0.86801,0.86252,0.79446,0.83742,0.86207,0.84521,0.86369,0.81138,0.86766,0.85343,0
0.87103,0.86693,0.83683,0.81222,0.81664,0.87776,0.8387,0.87089,0.8053,0.87103,0.83704,0
0.86836,0.87165,0.79922,0.78006,0.82245,0.8643,0.83107,0.86996,0.80044,0.86836,0.85172,0
0.87004,0.83541,0.84898,0.82318,0.84723,0.85556,0.84024,0.86574,0.80265,0.87004,0.83515,0
0.86636,0.86205,0.77245,0.77423,0.79365,0.86233,0.74831,0.86963,0.76937,0.86636,0.84313,0
0.83633,0.85093,0.84602,0.7909,0.86041,0.87842,0.82811,0.84627,0.81601,0.83633,0.81146,0
0.85982,0.84012,0.83104,0.78673,0.83373,0.83658,0.71653,0.85814,0.76609,0.85982,0.83033,0
0.84918,0.86737,0.85366,0.80667,0.82154,0.87854,0.83095,0.84332,0.83716,0.84918,0.85515,0
0.84412,0.79327,0.84448,0.79972,0.82287,0.81137,0.67635,0.84703,0.7274,0.84412,0.84991,0
0.87496,0.85162,0.75873,0.82404,0.83311,0.78062,0.8224,0.8773,0.84015,0.87496,0.80702,0
0.86851,0.876,0.85407,0.79308,0.84034,0.86828,0.84556,0.87282,0.82082,0.86851,0.80016,0
0.87765,0.86428,0.82089,0.78416,0.84819,0.88414,0.86175,0.87517,0.83582,0.87765,0.86133,0
0.81651,0.84882,0.83011,0.78206,0.81689,0.85965,0.6548,0.81827,0.81572,0.81651,0.83754,0
0.85156,0.8807,0.86199,0.78606,0.83633,0.88863,0.86036,0.84954,0.76605,0.85156,0.80089,0
0.82509,0.83365,0.84322,0.78574,0.82268,0.70301,0.79695,0.82999,0.761,0.82509,0.83824,0
0.79947,0.76482,0.81627,0.75373,0.74925,0.79885,0.77376,0.81863,0.77614,0.79947,0.84315,0
0.86138,0.864,0.84765,0.7948,0.79146,0.8601,0.85281,0.86341,0.83555,0.86138,0.85515,0
0.88125,0.86654,0.8123,0.79771,0.86206,0.87907,0.84129,0.87265,0.84195,0.88125,0.84556,0
0.87707,0.86055,0.81829,0.78051,0.8287,0.72439,0.76184,0.87858,0.67308,0.87707,0.83423,0
0.87171,0.87912,0.83805,0.78777,0.83857,0.88984,0.85781,0.87316,0.82337,0.87171,0.85708,0
0.86269,0.84438,0.85668,0.80898,0.84803,0.74939,0.85552,0.85806,0.8226,0.86269,0.82974,0
0.88145,0.87223,0.85062,0.80708,0.81108,0.88968,0.86002,0.87454,0.83254,0.88145,0.84374,0
0.84423,0.87216,0.84367,0.78587,0.82917,0.87961,0.85649,0.85223,0.84186,0.84423,0.84727,0
0.87558,0.85967,0.78105,0.77623,0.85445,0.73502,0.8206,0.88114,0.76979,0.87558,0.84044,0
0.86104,0.86941,0.83041,0.7983,0.8176,0.88643,0.85428,0.87724,0.82857,0.86104,0.7892,0
0.8686,0.87087,0.85509,0.76982,0.85726,0.83323,0.78694,0.86111,0.63737,0.8686,0.71833,0
0.85936,0.86009,0.83142,0.76985,0.84373,0.76291,0.75073,0.8567,0.73441,0.85936,0.81591,0
0.86621,0.86755,0.83434,0.79741,0.82604,0.88588,0.84009,0.86396,0.83028,0.86621,0.85896,0
0.85768,0.85681,0.79836,0.7685,0.79204,0.86492,0.76723,0.85842,0.75007,0.85768,0.85346,0
0.88316,0.8515,0.84923,0.81198,0.83014,0.85859,0.85241,0.87475,0.81254,0.88316,0.84553,0
0.84611,0.85103,0.84389,0.77895,0.84135,0.80472,0.78238,0.85099,0.64631,0.84611,0.74791,0
0.8657,0.86953,0.81697,0.78183,0.81374,0.87436,0.83939,0.86401,0.8331,0.8657,0.86905,0
0.83117,0.84672,0.8346,0.74889,0.83017,0.86971,0.81466,0.8313,0.78549,0.83117,0.79193,0
0.84749,0.85547,0.82525,0.76111,0.86183,0.86023,0.67477,0.84748,0.82748,0.84749,0.83545,0
0.85762,0.87014,0.85696,0.76097,0.8475,0.86131,0.80885,0.86401,0.82567,0.85762,0.84523,0
0.86182,0.864,0.85579,0.75683,0.83851,0.86268,0.82019,0.86032,0.83472,0.86182,0.84589,0
0.87403,0.87094,0.83839,0.79982,0.84837,0.87551,0.86132,0.8796,0.8292,0.87403,0.79157,0
0.86654,0.86692,0.85805,0.7916,0.80555,0.87553,0.832,0.86701,0.84064,0.86654,0.77498,0
0.84639,0.84307,0.80096,0.80932,0.8372,0.87654,0.82673,0.85296,0.82402,0.84639,0.79916,0
0.84073,0.87192,0.84593,0.8016,0.82251,0.88654,0.83085,0.8509,0.81029,0.84073,0.83444,0
0.85963,0.86717,0.84245,0.80253,0.85242,0.86742,0.85502,0.86754,0.84582,0.85963,0.82888,0
0.86812,0.86677,0.84235,0.79063,0.84987,0.87905,0.84352,0.87072,0.83198,0.86812,0.84529,0
0.82662,0.85979,0.83947,0.7965,0.80635,0.8592,0.8598,0.83124,0.83803,0.82662,0.84816,0
0.8752,0.87838,0.80959,0.79635,0.85056,0.87405,0.8449,0.8735,0.80548,0.8752,0.84991,0
0.87508,0.77595,0.82931,0.80823,0.81103,0.7477,0.81129,0.87875,0.74666,0.87508,0.82068,0
0.85818,0.8768,0.85801,0.77589,0.85533,0.8647,0.83731,0.86593,0.79931,0.85818,0.82023,0
0.85462,0.79307,0.84317,0.81405,0.7561,0.75393,0.84979,0.8573,0.79304,0.85462,0.82985,0
0.85717,0.86791,0.8581,0.79306,0.80254,0.86776,0.82291,0.85446,0.838,0.85717,0.80999,0
0.87535,0.85441,0.85418,0.81635,0.84136,0.86871,0.84805,0.88188,0.84088,0.87535,0.7684,0
0.87112,0.87161,0.81653,0.78502,0.85418,0.87738,0.84987,0.87293,0.82802,0.87112,0.84474,0
0.88098,0.87178,0.85125,0.75751,0.81529,0.88351,0.83302,0.87795,0.83253,0.88098,0.83605,1
0.85149,0.87311,0.84545,0.77,0.83738,0.89095,0.85272,0.85511,0.77625,0.85149,0.83895,1
0.85892,0.86232,0.82811,0.80657,0.81841,0.87457,0.83889,0.86365,0.80456,0.85892,0.84236,1
0.87749,0.8496,0.86018,0.80733,0.82959,0.86576,0.84071,0.87954,0.80942,0.87749,0.84075,1
0.86998,0.86899,0.83058,0.78263,0.81734,0.86113,0.85005,0.87604,0.83633,0.86998,0.85499,1
0.86399,0.76689,0.82547,0.82529,0.83827,0.74692,0.85477,0.87141,0.78688,0.86399,0.85448,1
0.87694,0.86896,0.85539,0.78443,0.83058,0.87256,0.85833,0.88175,0.83942,0.87694,0.81446,1
0.87472,0.76351,0.85554,0.804,0.86688,0.86883,0.83405,0.86421,0.78083,0.87472,0.86227,1
0.85881,0.87458,0.84697,0.79261,0.80481,0.87536,0.85539,0.86715,0.82458,0.85881,0.84461,1
0.87363,0.86584,0.83408,0.79785,0.84974,0.87591,0.8567,0.87821,0.84142,0.87363,0.85717,1
0.85065,0.86585,0.8489,0.79278,0.80158,0.8729,0.82507,0.84077,0.82324,0.85065,0.85735,1
0.84775,0.86052,0.84983,0.79336,0.80827,0.85966,0.84906,0.85081,0.84672,0.84775,0.81379,1
0.87494,0.87746,0.83041,0.79483,0.83164,0.88314,0.86008,0.87463,0.82675,0.87494,0.81419,1
0.87125,0.87771,0.82796,0.80373,0.81661,0.86438,0.86404,0.87432,0.82324,0.87125,0.84718,1
0.86765,0.87182,0.84878,0.80507,0.83614,0.87243,0.82587,0.87704,0.8409,0.86765,0.83411,1
0.86761,0.86908,0.84431,0.78789,0.79346,0.88451,0.83445,0.87531,0.83752,0.86761,0.80228,1
0.85245,0.87053,0.847,0.77492,0.85818,0.88301,0.82461,0.8573,0.76814,0.85245,0.81846,1
0.86985,0.86683,0.8543,0.80537,0.86218,0.84978,0.82478,0.88099,0.83317,0.86985,0.82756,1
0.86321,0.86678,0.84611,0.79784,0.85327,0.85348,0.83488,0.86808,0.8292,0.86321,0.81387,1
0.87105,0.87385,0.85907,0.81205,0.85325,0.8834,0.84427,0.86828,0.84135,0.87105,0.76445,1
0.87768,0.85271,0.8098,0.78129,0.82951,0.87654,0.85856,0.87339,0.81346,0.87768,0.85221,1
0.84142,0.8087,0.84305,0.73715,0.83827,0.84906,0.82368,0.8466,0.76358,0.84142,0.83403,1
0.863,0.82181,0.77674,0.7898,0.81275,0.82241,0.75356,0.86117,0.7557,0.863,0.76324,1
0.85224,0.8662,0.84307,0.82002,0.82187,0.88099,0.86213,0.85146,0.81898,0.85224,0.85287,1
0.8762,0.8575,0.84685,0.80716,0.82503,0.87308,0.8415,0.87153,0.81253,0.8762,0.8572,1
0.87557,0.87001,0.85139,0.78953,0.80112,0.8865,0.84505,0.87027,0.83016,0.87557,0.80891,1
0.83942,0.86479,0.84807,0.76119,0.85048,0.88173,0.83285,0.84573,0.73899,0.83942,0.82069,1
0.84558,0.86854,0.83716,0.77255,0.86467,0.88967,0.8305,0.84829,0.75865,0.84558,0.82463,1
0.85924,0.86827,0.83341,0.79194,0.84626,0.87935,0.83843,0.86756,0.82467,0.85924,0.85074,1
0.87136,0.85062,0.8386,0.72824,0.84425,0.85418,0.83093,0.86573,0.81909,0.87136,0.8341,1
0.86343,0.86988,0.85266,0.77516,0.8521,0.87814,0.81377,0.87911,0.82387,0.86343,0.80732,1
0.87381,0.77044,0.85365,0.8036,0.836,0.73641,0.83496,0.88654,0.7935,0.87381,0.85785,1
0.86684,0.85514,0.81619,0.80906,0.8247,0.74565,0.81958,0.8755,0.82193,0.86684,0.81677,1
0.87452,0.86134,0.7884,0.76681,0.83525,0.86981,0.82073,0.8755,0.80808,0.87452,0.85601,1
0.86409,0.81846,0.83328,0.79724,0.86526,0.77775,0.83931,0.85905,0.72703,0.86409,0.8345,1
0.86743,0.87726,0.85826,0.7859,0.86455,0.87731,0.82645,0.8633,0.83148,0.86743,0.7784,1
0.87051,0.8665,0.84114,0.7974,0.81515,0.88785,0.86305,0.87641,0.83694,0.87051,0.79215,1
0.87512,0.86328,0.84537,0.75334,0.8474,0.88225,0.82928,0.87653,0.83552,0.87512,0.83542,1
0.87311,0.8628,0.84258,0.76547,0.81155,0.87625,0.81669,0.87248,0.83701,0.87311,0.8111,1
0.87299,0.83346,0.81725,0.80783,0.81396,0.77687,0.83689,0.87282,0.79811,0.87299,0.83092,1
